Run ID,Cores,Sim Duration,PERSEPHONE_OVERHEAD,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Slowdown 99%,Slowdown99.9%,latency_short 99.9%,latency_long 99.9%,Tasks Stolen,Average Number of Steals,Throughput,orphan_count,orphan time 99.9%Real Load,Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description,99% Idle Interval
o-Virtual-Machine_23-02-16_13:21:43_t0,14,100000000,100,1000,0.7,93.10038017,88.73518326,0,10807,122051.87,1318,28485.85,22.69985,43.853555,43938.975,261013.051,0,0,7018156.701,0,0,50.12969072,0,0,0,73881774,0,1155946256,0,128788595,37854394,0,0,0,0,0,0,0,0,0,0,1876.219864,0,0,0,0,0,0,101637.13
o-Virtual-Machine_23-02-16_13:21:43_t1,14,100000000,110,1000,0.7,93.10435527,88.6854615,0,10940.8,125733.608,1398,33071.48,23.28756,59.148816,59310.18,310390.629,0,0,7027447.611,0,0,50.19605436,0,0,0,83874330,0,1155346665,0,118249743,46339412,0,0,0,0,0,0,0,0,0,0,2013.431704,0,0,0,0,0,0,100909.68
o-Virtual-Machine_23-02-16_13:21:43_t2,14,100000000,120,1000,0.7,93.10374341,89.0084127,0,10408,123697.006,1563,23622.74,19.162,31.672318,31720.136,250543.315,0,0,7035269.367,0,0,50.25192405,0,0,0,95755751,0,1159541577,0,97196412,65363235,0,0,0,0,0,0,0,0,0,0,1964.022474,0,0,0,0,0,0,99425.45
o-Virtual-Machine_23-02-16_13:21:43_t3,14,100000000,130,1000,0.7,93.10664514,88.15740598,0,9308.9,116088.608,1874,23775.14,18.10414,37.597076,37613.952,255059.304,0,0,7029630,0,0,50.21164286,0,0,0,123449165,0,1148479781,0,72993398,112298940,0,0,0,0,0,0,0,0,0,0,2006.593205,0,0,0,0,0,0,39798.19
o-Virtual-Machine_23-02-16_13:21:43_t4,14,100000000,140,1000,0.7,93.10777119,88.51564634,0,16043.05,130140.04,4658,29050.02,26.779,35.043911,35066.908,323951.823,0,0,7020993.33,0,0,50.14995236,0,0,0,142500247,0,1153164241,0,17102865,143051671,0,0,0,0,0,0,0,0,0,0,5127.995842,0,0,0,0,0,0,40899.74
o-Virtual-Machine_23-02-16_13:21:43_t5,14,100000000,150,1000,0.7,93.10349576,84.15805946,0,4721170.6,5014615.422,2442520,4967802.26,4967.44138,5013.65692,5013694.668,5109175.62,0,0,6666549.4,0,0,47.61821,0,0,0,205830795,0,1096348835,0,8217,244631756,0,0,0,0,0,0,0,0,0,0,2469129.932,0,0,0,0,0,0,3821.24
o-Virtual-Machine_23-02-16_13:21:43_t6,14,100000000,160,1000,0.7,93.0926994,79.778975,0,10442662.4,10980551.04,5584336,10885584.6,10885.25144,10979.94608,10979960.86,11077177.65,0,0,6249883.438,0,0,44.64202455,0,0,0,262847536,0,1039210209,0,24964,282562655,0,0,0,0,0,0,0,0,0,0,5532385.915,0,0,0,0,0,0,3620.95
o-Virtual-Machine_23-02-16_13:21:43_t7,14,100000000,170,1000,0.7,93.08727628,75.51674988,0,15437838,16265562.24,8095508,16103102.42,16101.46074,16265.24618,16265283.6,16347703.2,0,0,5882262.53,0,0,42.01616093,0,0,0,318341473,0,983634029,0,7269,367753223,0,0,0,0,0,0,0,0,0,0,8102291.318,0,0,0,0,0,0,3101
o-Virtual-Machine_23-02-16_13:21:43_t8,14,100000000,180,1000,0.7,93.07884964,71.3616368,0,19912639.7,20940846.45,10489933.5,20752843.51,20751.0077,20940.03031,20940266.99,21025082.73,0,0,5555436.278,0,0,39.6816877,0,0,0,372458909,0,929445456,0,14105,410274927,0,0,0,0,0,0,0,0,0,0,10506521.95,0,0,0,0,0,0,3101
o-Virtual-Machine_23-02-16_13:21:43_t9,14,100000000,190,1000,0.7,93.07113131,68.65480571,0,23952882,25191718.15,12656890,24966020.88,24965.56384,25191.513,25191576.15,25283211.94,0,0,5263083.684,0,0,37.59345489,0,0,0,407709756,0,894135351,0,52199,429642930,0,0,0,0,0,0,0,0,0,0,12638813.53,0,0,0,0,0,0,3101
o-Virtual-Machine_23-02-16_13:21:43_t10,14,100000000,200,1000,0.7,93.02879095,65.96105212,0,27321978,28693368.58,14400727,28440578.45,28439.35835,28692.87848,28693012,28732155.88,0,0,4999854.25,0,0,35.71324464,0,0,0,442624391,0,858677348,0,12543,443964500,0,0,0,0,0,0,0,0,0,0,14398411.71,0,0,0,0,0,0,3101
o-Virtual-Machine_23-02-16_13:21:43_t11,14,100000000,210,1000,0.7,93.06184184,62.55696129,0,30626156.4,32190492.26,16062653.5,31902925.68,31902.28897,32190.32177,32190454.88,32227435.41,0,0,4761799.714,0,0,34.0128551,0,0,0,487122222,0,814642611,0,18648,529233695,0,0,0,0,0,0,0,0,0,0,16082050.99,0,0,0,0,0,0,3101
o-Virtual-Machine_23-02-16_13:21:43_t12,14,100000000,220,1000,0.7,93.05664166,60.1521769,0,33626720.6,35366713.94,17666650,35048112.76,35045.67968,35365.47408,35365786.9,35436389.49,0,0,4545367.227,0,0,32.46690877,0,0,0,518440607,0,783294146,0,9290,553201032,0,0,0,0,0,0,0,0,0,0,17667389.65,0,0,0,0,0,0,3101
o-Virtual-Machine_23-02-16_13:21:43_t13,14,100000000,230,1000,0.7,93.05152187,57.91258932,0,36272398.45,38161204.14,19105582,37805729.98,37804.64745,38160.48223,38160746.25,38223133.1,0,0,4347717.131,0,0,31.05512236,0,0,0,547601130,0,754098668,0,14111,573384899,0,0,0,0,0,0,0,0,0,0,19101379.54,0,0,0,0,0,0,3101
o-Virtual-Machine_23-02-16_13:21:43_t14,14,100000000,240,1000,0.7,93.04692592,55.61402976,0,38723376.35,40677540.2,20384290.5,40321401.71,40318.38948,40676.61672,40677073.3,40730164.54,0,0,4166579.708,0,0,29.76128363,0,0,0,577520121,0,724140132,0,11322,592298957,0,0,0,0,0,0,0,0,0,0,20378166.65,0,0,0,0,0,0,3101
o-Virtual-Machine_23-02-16_13:21:43_t15,14,100000000,250,1000,0.7,93.01406203,53.867543,0,40845653,42959793.94,21517680,42559652,42556.9712,42959.5061,42959533.19,43006506.7,0,0,3999907,0,0,28.57076429,0,0,0,600074515,0,701160064,0,19466,601222829,0,0,0,0,0,0,0,0,0,0,21506800.82,0,0,0,0,0,0,3101
